spring_boot,spring_data_neo4j,neo4j_ogm,neo4j_java_driver,minimum_java_version,release_date,end_of_oss_support,end_of_commercial_support
2.3.6.RELEASE,5.3.5.RELEASE,3.2.18,4.0.2,8,2020-11-12,2020-12-11,2020-12-11
2.3.5.RELEASE,5.3.5.RELEASE,3.2.17,4.0.2,8,2020-10-29,2020-11-12,2020-11-12
2.3.4.RELEASE,5.3.4.RELEASE,3.2.16,4.0.2,8,2020-09-17,2020-10-29,2020-10-29
2.3.3.RELEASE,5.3.3.RELEASE,3.2.14,4.0.2,8,2020-08-13,2020-09-17,2020-09-17
2.3.2.RELEASE,5.3.2.RELEASE,3.2.14,4.0.2,8,2020-07-24,2020-08-13,2020-08-13
2.3.1.RELEASE,5.3.1.RELEASE,3.2.12,4.0.1,8,2020-06-12,2020-07-24,2020-07-24
2.3.0.RELEASE,5.3.0.RELEASE,3.2.11,4.0.1,8,2020-05-15,2020-06-12,2020-06-12
2.2.13.RELEASE,5.2.12.RELEASE,3.2.19,4.0.2,8,2021-01-14,2020-10-16,2022-01-16
2.2.12.RELEASE,5.2.12.RELEASE,3.2.18,4.0.2,8,2020-12-10,2020-10-16,2021-01-14
2.2.11.RELEASE,5.2.11.RELEASE,3.2.17,4.0.2,8,2020-10-29,2020-10-16,2020-12-10
2.2.10.RELEASE,5.2.10.RELEASE,3.2.16,4.0.2,8,2020-09-17,2020-10-16,2020-10-29
2.2.9.RELEASE,5.2.9.RELEASE,3.2.14,4.0.2,8,2020-07-24,2020-09-17,2020-09-17
2.2.8.RELEASE,5.2.8.RELEASE,3.2.11,4.0.1,8,2020-06-11,2020-07-24,2020-07-24
2.2.7.RELEASE,5.2.7.RELEASE,3.2.11,4.0.1,8,2020-05-07,2020-06-11,2020-06-11
2.2.6.RELEASE,5.2.6.RELEASE,3.2.10,4.0.1,8,2020-03-26,2020-05-07,2020-05-07
2.2.5.RELEASE,5.2.5.RELEASE,3.2.9,4.0.0,8,2020-02-27,2020-03-26,2020-03-26
2.2.4.RELEASE,5.2.4.RELEASE,3.2.6,4.0.0,8,2020-01-20,2020-02-27,2020-02-27
2.2.3.RELEASE,5.2.4.RELEASE,3.2.6,4.0.0,8,2020-01-16,2020-01-20,2020-01-20
2.2.2.RELEASE,5.2.3.RELEASE,3.2.3,4.0.0-rc1,8,2019-12-06,2020-01-16,2020-01-16
